Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
148864,488043879,G,8.90422,-0.628004,3.05504,-8.33944,3.11892,-1.70992,1.77354,-1,G,6.88724,-0.232342,4.71985,-5.00918,4.72557,-0.923181,1.61998,-1,3.16152
148864,488056031,G,9.34052,-2.36311,-4.06809,-8.06848,4.70464,-1.3084,-2.09705,1,G,12.3773,-5.18928,-7.36872,-8.48288,9.01258,-0.839198,-2.18436,-1,3.14258
148864,488056583,G,6.87243,-4.58811,2.42963,-4.50169,5.19171,-0.784206,2.65459,-1,T,8.99905,-6.16559,-3.23942,-5.69767,6.96479,-0.746714,-2.65783,1,5.61952
148864,488093127,G,15.3292,-4.61942,-3.28325,14.2427,5.66734,1.65209,-2.52369,-1,G,15.2182,3.55844,1.82971,14.6824,4.0013,2.01125,0.474934,1,9.65637
148864,488137783,G,14.3546,1.01429,-4.30738,13.6551,4.42519,1.84522,-1.33953,1,T,4.47925,-1.06034,-1.28217,4.15743,1.66382,1.64676,-2.26178,-1,2.48662
148864,488135191,G,3.69336,-3.49349,0.731637,-0.943375,3.56928,-0.261319,2.93515,1,T,4.44167,-0.102298,-0.910292,4.3449,0.916022,2.2608,-1.68271,-1,6.45342
148864,488253663,G,13.4334,1.58899,2.74191,13.0538,3.16907,2.12321,1.04557,-1,T,4.51926,-0.663278,1.83762,4.07379,1.95366,1.48111,1.91719,1,2.66722
148864,488254247,G,18.5515,-7.11576,-8.19982,15.0425,10.8568,1.12955,-2.28553,1,G,18.3076,-7.77245,-5.21545,15.7336,9.36013,1.29111,-2.55058,-1,3.13057
148864,488335511,G,15.9078,1.65962,-5.60801,-14.7934,5.84843,-1.65812,-1.28307,-1,G,9.4501,-1.63002,-2.77126,8.88574,3.2151,1.74097,-2.10248,1,23.1929
148864,488348399,G,10.0924,3.68872,4.0918,-8.4555,5.50904,-1.21394,0.837159,1,G,6.86897,2.5202,4.75439,-4.26802,5.38104,-0.727317,1.08338,1,2.99896
148864,488398951,G,14.604,-4.29336,-0.376516,13.9532,4.30984,1.891,-3.05412,1,G,5.15862,1.8138,-4.61917,1.40487,4.96252,0.279445,-1.19663,-1,11.117
148864,488407527,G,11.2616,-2.54114,-4.42539,-10.0385,5.10309,-1.42884,-2.09204,-1,G,8.42022,7.18329,3.16037,3.04982,7.84777,0.37945,0.414474,-1,17.759
